"Statistic Label","Year","Type of Urban or Rural Area","Small Area","UNIT","VALUE"
"Population Usually Resident and Present in the State","2022","Cities","157110001/157110002","Number",""
"Population Usually Resident and Present in the State","2022","Cities","107079012","Number",""
"Population Usually Resident and Present in the State","2022","Cities","247034003","Number",""
"Population Usually Resident and Present in the State","2022","Cities","137054004","Number",""
"Population Usually Resident and Present in the State","2022","Cities","087064008","Number",""
"Population Usually Resident and Present in the State","2022","Cities","027024001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","167003006","Number",""
"Population Usually Resident and Present in the State","2022","Cities","167037009","Number",""
"Population Usually Resident and Present in the State","2022","Cities","267099026","Number",""
"Population Usually Resident and Present in the State","2022","Cities","048006005","Number","289"
"Population Usually Resident and Present in the State","2022","Cities","247038005","Number",""
"Population Usually Resident and Present in the State","2022","Cities","128016005","Number","245"
"Population Usually Resident and Present in the State","2022","Cities","228014014","Number","397"
"Population Usually Resident and Present in the State","2022","Cities","047033014","Number",""
"Population Usually Resident and Present in the State","2022","Cities","057106037","Number",""
"Population Usually Resident and Present in the State","2022","Cities","067046001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","047016047","Number","362"
"Population Usually Resident and Present in the State","2022","Cities","077106008","Number",""
"Population Usually Resident and Present in the State","2022","Cities","267135003","Number",""
"Population Usually Resident and Present in the State","2022","Cities","267079011","Number","150"
"Population Usually Resident and Present in the State","2022","Cities","067202002","Number",""
"Population Usually Resident and Present in the State","2022","Cities","268054013","Number","214"
"Population Usually Resident and Present in the State","2022","Cities","128016003","Number","148"
"Population Usually Resident and Present in the State","2022","Cities","057030011","Number",""
"Population Usually Resident and Present in the State","2022","Cities","207067001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","268156004","Number","228"
"Population Usually Resident and Present in the State","2022","Cities","268143012","Number","540"
"Population Usually Resident and Present in the State","2022","Cities","207066001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","268133016","Number","243"
"Population Usually Resident and Present in the State","2022","Cities","268138005","Number","489"
"Population Usually Resident and Present in the State","2022","Cities","107044006","Number",""
"Population Usually Resident and Present in the State","2022","Cities","267118013","Number",""
"Population Usually Resident and Present in the State","2022","Cities","237012001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","067088004","Number",""
"Population Usually Resident and Present in the State","2022","Cities","067029003","Number",""
"Population Usually Resident and Present in the State","2022","Cities","127111004","Number",""
"Population Usually Resident and Present in the State","2022","Cities","047136006","Number",""
